Country,State,Year,Month,"Ration Cards (UOM:Number), Scaling Factor:1","Transactions Through Portability-Inter District Under Antyodaya Anna Yojana (UOM:Number), Scaling Factor:1","Transactions Through Portability-Inter District Under Priority Household (UOM:Number), Scaling Factor:1","Transactions Through Portability-Intra District Under Antyodaya Anna Yojana (UOM:Number), Scaling Factor:1","Transactions Through Portability-Intra District Under Priority Household (UOM:Number), Scaling Factor:1","Quantity Distributed Through Portability Inter Distric Under Antyodaya Anna Yojana (UOM:MT(MetricTonne)), Scaling Factor:1","Quantity Distributed Through Portability Inter District Under Priority Household (UOM:MT(MetricTonne)), Scaling Factor:1","Quantity Distributed Through Portability Intra District Under Antyodaya Anna Yojana (UOM:MT(MetricTonne)), Scaling Factor:1","Quantity Distributed Through Portability Intra District Under Priority Household (UOM:MT(MetricTonne)), Scaling Factor:1"
India,Lakshadweep,"Calendar Year (Jan - Dec), 2022","July, 2022",4748,0,0,78,481,0,0,2.73,11.62
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022","July, 2022",11918650,10022,77500,53496,563407,320,1470.82,1806.65,11540.86
India,Maharashtra,"Calendar Year (Jan - Dec), 2022","July, 2022",15417617,11284,99441,48176,745335,373.28,2079.65,1603.63,15755.79
India,Manipur,"Calendar Year (Jan - Dec), 2022","July, 2022",568975,0,0,0,0,0,0,0,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2022","July, 2022",421525,0,0,0,0,0,0,0,0
India,Mizoram,"Calendar Year (Jan - Dec), 2022","July, 2022",166763,8,41,23,127,0.28,0.85,0.81,2.7
India,Nagaland,"Calendar Year (Jan - Dec), 2022","July, 2022",311305,1,0,32,947,0.04,0,1.12,18.12
India,Odisha,"Calendar Year (Jan - Dec), 2022","July, 2022",9306426,3,87,119,784,0.11,1.41,4.17,13.14
India,Rajasthan,"Calendar Year (Jan - Dec), 2022","July, 2022",10372259,4085,55932,87018,1773381,141.13,1169.62,3016.94,36389.55
India,Sikkim,"Calendar Year (Jan - Dec), 2022","July, 2022",94575,0,3,39,262,0,0.06,1.37,5.46
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022","July, 2022",11514013,4740,90435,15746,147719,157.27,1373.68,520.41,2305.2
India,Telangana,"Calendar Year (Jan - Dec), 2022","July, 2022",5436912,24296,259440,96852,1112668,327.17,0,1259.87,20727.43
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2022","July, 2022",60297,455,3537,109,2044,0,0.05,3.68,44.31
India,Tripura,"Calendar Year (Jan - Dec), 2022","July, 2022",596090,363,2349,2826,20622,12.25,40.15,123.48,466.15
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022","July, 2022",36166125,10398,190669,77352,1314454,363.93,3882.71,2707.29,27998.7
India,Uttarakhand,"Calendar Year (Jan - Dec), 2022","July, 2022",1384888,0,0,0,0,0,0,0,0
