srcYear,srcMonth,srcStateName,Ration cards,Transactions through portability-Inter District under Antyodaya Anna Yojana,Transactions through portability-Inter District under Priority Household,Transactions through portability-Intra District under Antyodaya Anna Yojana,Transactions through portability-Intra District under Priority Household,Quantity distributed through portability Inter Distric under Antyodaya Anna Yojana,Quantity distributed through portability Inter District under Priority Household,Quantity distributed through portability Intra District under Antyodaya Anna Yojana,Quantity distributed through portability Intra District under Priority Household,YearCode,Year,MonthCode,Month
2022,Jun - 2022,Meghalaya,421521,0,0,0,0,0,0,0,0,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022"
2022,Jun - 2022,Mizoram,166633,8,39,20,111,0.28,0.77,0.7,2.32,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022"
2022,Jun - 2022,Nagaland,308646,1,0,21,765,0.04,0,0.74,14.81,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022"
2022,Jun - 2022,Odisha,9306421,16,581,187,2470,0.56,8.61,6.51,38.41,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022"
2022,Jun - 2022,Rajasthan,10404665,3809,53095,81859,1671022,131.26,1117.28,2842.78,34441.11,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022"
2022,Jun - 2022,Sikkim,94417,0,5,51,352,0,0.11,1.78,7.44,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022"
2022,Jun - 2022,Tamil Nadu,11516204,4452,82375,14668,136227,148.16,1255.36,486.94,2119.08,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022"
2022,Jun - 2022,Telangana,5390263,22217,231373,90583,1027161,0,0,0,19247.5,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022"
2022,Jun - 2022,Tripura,595939,473,2828,3644,23415,16.11,48.86,125.87,462.32,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022"
2022,Jun - 2022,Uttarakhand,1408929,0,0,0,0,0,0,0,0,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022"
2022,Jun - 2022,Uttar Pradesh,36167456,10055,188407,48248,1256444,351.75,3807.57,1685.99,26601.73,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022"
2022,Jun - 2022,West Bengal,54791341,1476,16759,52187,452728,51.02,235.49,1806.06,8823.59,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022"
2022,Mar - 2022,Andaman & Nicobar Islands,16759,6,48,92,679,0.21,0.75,3.22,11.85,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022"
